;cntry_code;AUS;AUT;BEL;BRA;BGR;CAN;CHN;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IND;IDN;IRL;ITA;JPN;LVA;LTU;LUX;MLT;MEX;NLD;NOR;POL;PRT;ROM;WWF;WWL;WWA;WWE;WWM;RUS;SVK;SVN;ZAF;KOR;ESP;SWE;CHE;TWN;TUR;GBR;USA
year;HANPP in 1000 t C;Australia;Austria;Belgium;Brazil;Bulgaria;Canada;China;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finnland;France;Germany;Greece;Hungary;India;Indonesia;Ireland;Italy;Japan;Latvia;Lithuania;Luxembourg;Malta;Mexico;Netherlands;Norway;Poland;Portugal;Romania;RoW Africa;RoW America;RoW Asia and Pacific;RoW Europe;RoW Middle East;Russia;Slovakia;Slovenia;South Africa;South Korea;Spain;Sweden;Switzerland;Taiwan;Turkey;United Kingdom;USA
2015;HANPP cropland (area);117790.3181;7613.671999;3552.522607;591724.8522;15690.12021;188054.0623;590432.6;5292.4;120.569933;13449.2;11109.53086;5075.47;6764.860934;77266.37801;54544.77926;12486.71333;23265.90109;754869.8859;474986.0366;3370.542391;39165.2959;22635.06945;11348.86;15843.73;199.5993603;34.66986386;108461.7959;4452.547561;4208.070689;49359.46823;5752.150781;47311.49174;1324652.408;500684.486;759469.5519;234487.1555;26127.09257;284183.14;5762.31;1226.92;23314.90669;9633.103702;43953.04674;12529.70792;2231.832374;891.07;46665.05332;27275.75896;647052.2598
2015;HANPP woodland;12127.40351;7138.549224;2124.196632;131805.4569;2863.717026;60378.2194;189867.96;2279.32;3.710559063;6622.44;1779.977289;4146.03;24360.10254;23050.8629;23280.85935;623.2490257;2558.195334;199145.524;79201.53216;1155.764526;5123.303768;7831.451437;5275.55;2819.28;154.0921337;0;20029.12184;1065.747368;4545.763454;16497.57769;4303.152943;6478.435863;331350.5495;95609.83541;161140.5597;23567.8429;906.5386464;88248.42;3947.68;2058.66;15793.36266;2951.863928;7524.620392;28819.95915;1824.017402;716.05;9204.450478;4180.697067;161171.8704
2015;HANPP grassland;65609.17422;8386.847418;6594.267065;607934.9419;5422.322438;53825.70842;442276.33;0;413.9651968;5112.22;1304.753898;0;4931.134611;50639.65003;13985.29981;4267.146613;0;266533.8613;137515.7729;22661.83441;10478.73637;9197.222073;0;5600.582116;457.9125506;0;106827.0329;11343.4822;12586.14444;28107.99627;3941.434888;0;1413640.548;657102.6346;789852.992;40862.85924;44445.58355;103078.52;1862.38;8435.433364;57157.22937;11566.55161;19259.97705;0;5419.082705;667.47;67697.90484;40318.37521;244206.733
2015;HANPP built up;4564.065132;2019.846032;1388.437007;19134.9624;1453.60072;14514.96914;59112.15;972.4049851;9.436127012;2272.35;1218.968855;367.9442926;2389.842053;12084.57996;17567.08191;2142.998855;2364.498137;35105.13479;19197.28782;2116.910996;11012.92092;24130.03362;557.4220878;820.1689459;69.71016657;0;4607.279307;2224.01258;2236.174465;7424.206255;1439.463734;4649.571327;61349.32922;26856.99594;61016.82301;20666.94425;1721.308834;40250.83599;1165.63;476.2810609;15519.91208;2115.149083;5559.113729;4093.712199;1862.547814;988.2;1315.511502;12125.79703;127894.0004
2014;HANPP cropland (area);116034.3116;7646.335261;3555.130362;573141.1973;15780.60256;183153.4033;578891.949;5336.452029;123.8727575;13646.78455;11175.54675;4884.884032;6791.869193;77492.86591;54536.6342;12361.6449;23260.82674;754665.8706;466137.9425;3386.700012;39787.98929;22795.10397;11186.72232;14921.59271;200.2504911;34.73764463;108351.4722;4442.569863;4236.940744;49543.56367;5803.957728;47616.52202;1303428.641;495835.0209;755984.8037;232746.9024;26843.07279;272934.1389;5683.674944;1218.955501;23085.93825;9784.253846;43503.60939;12512.30824;2237.280252;881.1957889;46989.40134;27210.86467;647052.0331
2014;HANPP woodland;12000.16579;7153.862596;2083.037479;134257.977;2812.172667;58483.52219;185278.5373;2219.219215;3.584459099;6685.501669;1644.840071;3973.207997;23661.19917;23409.29906;23160.63049;642.659784;2561.270888;196540.4154;78105.24379;1145.084376;4669.634032;7540.16234;5302.741408;2879.607845;146.0639198;0;20154.16872;951.071025;4440.564429;16022.41964;4156.445513;6292.314504;326414.4915;94076.28375;160311.6465;21567.90433;935.5999653;85485.54905;3978.653256;1890.248689;16206.10531;3052.943503;7402.910359;28501.86964;1850.600121;698.7442197;8920.392879;4115.441373;156800.4
2014;HANPP grassland;67554.52328;8281.157003;6779.881597;596704.4546;5536.20212;70613.66278;445512.5355;0;430.6078022;5386.734635;1718.959858;0;5926.331548;52050.86734;18121.85467;4926.973975;0;256293.6197;137103.1814;22860.80853;12140.80562;10108.17643;0;5133.507967;484.6458625;0;106677.6645;11402.88672;12844.1333;26671.04168;3993.926817;0;1357458.227;652082.754;743256.3574;42945.1658;42882.07114;89616.52103;1794.593131;12111.86186;55179.8687;10720.49072;20422.07894;5649.526865;5378.45161;678.8507976;60560.48022;41825.21579;253477.4362
2014;HANPP built up;4418.747889;2007.581053;1368.764623;18745.14842;1463.293472;14172.01919;55181.79131;974.8225039;8.953249317;2261.00638;1203.597054;369.0739985;2251.825756;11856.49962;17469.93097;2044.185046;2339.139871;33509.07542;18306.19567;2052.139429;10881.4917;22725.67055;564.7853867;831.3515258;67.74784952;0;4432.079905;2161.062864;2176.131978;7445.770538;1411.376211;4636.501419;57273.66387;25971.13151;59127.38872;20706.94758;1673.380631;40230.27282;1159.79114;474.0646612;14967.95993;2088.310566;5425.179083;4027.39522;1823.682482;923.9032765;1276.237331;12191.23688;125890.3876
2013;HANPP cropland (area);114278.305;7678.998522;3557.738116;554557.5424;15871.08492;178252.7443;567351.2985;5380.500532;127.175582;13844.36812;11241.56264;4694.293165;6818.877452;77719.35381;54528.48913;12236.57646;23255.75238;754461.8553;457289.8483;3402.857634;40410.68268;22955.1385;11024.58855;13999.45911;200.9016219;34.8054254;108241.1484;4432.592165;4265.810799;49727.65912;5855.764675;47921.55229;1282204.873;490985.5558;752500.0643;231006.6545;27559.05301;261685.1367;5605.036655;1210.989219;22856.96981;9935.403991;43054.17203;12494.90856;2242.72813;871.3255316;47313.74936;27145.97038;647051.8065
