year,land,AUS,AUT,BEL,BRA,BGR,CAN,CHN,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IND,IDN,IRL,ITA,JPN,LVA,LTU,LUX,MLT,MEX,NLD,NOR,POL,PRT,ROM,WWF,WWL,WWA,WWE,WWM,RUS,SVK,SVN,ZAF,KOR,ESP,SWE,CHE,TWN,TUR,GBR,USA
2015,woodland,1,1,1,0.461406801781614,0.467899787983197,1,0.528234285609987,1,1,1,1,1,1,1,1,1,0.257747721258453,0.39481194117255,0.06813627254509,1,1,1,1,1,1,1,0.79232693911593,1,1,0.051992224476176,1,0.342859068347212,0.813868433597387,0.643409536015501,0.755223997552722,0.613730818081125,0.676615804305696,0.163102260429061,1,1,0.458881199916866,1,1,1,1,1,0.196516122064472,1,1
2015,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2014,woodland,1,1,1,0.461406801781614,0.467899787983196,1,0.528234285609983,1,1,1,1,1,1,1,1,1,0.475279358805089,0.86282229591108,0.394811941172549,1,1,1,1,1,1,1,0.889774218288434,1,1,0.139047450030699,1,0.342859068347209,0.857066668631645,0.637714644699431,0.614652484350534,0.613811136337727,0.249377806226737,0.163102260429056,1,1,0.45888119991686,1,1,1,1,1,0.196516122064473,1,1
2014,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2013,woodland,1,1,1,0.48577017359893,0.474727026285521,1,0.571418671432966,1,1,1,1,1,1,1,1,1,0.493419203376376,0.885632775673741,0.438179571957591,1,1,1,1,1,1,1,0.880594215518073,1,1,0.133242422421663,1,0.296385378374168,0.854285674213805,0.650193207854938,0.634598406718363,0.5646570386471,0.249574414085727,0.196360816796997,1,1,0.440930330107747,1,1,1,1,1,0.212066959921295,1,1
2013,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2012,woodland,1,1,1,0.510133545416245,0.481554264587848,1,0.614603057255948,1,1,1,1,1,1,1,1,1,0.511559047947664,0.908443255436403,0.481547202742632,1,1,1,1,1,1,1,0.871414212747713,1,1,0.127437394812629,1,0.249911688401127,0.851549145932113,0.650193207854938,0.654323707897539,0.515298056930463,0.249770919870551,0.229619373164937,1,1,0.422979460298642,1,1,1,1,1,0.227617797778116,1,1
2012,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
2011,woodland,1,1,1,0.534496917233561,0.488381502890173,1,0.657787443078917,1,1,1,1,1,1,1,1,1,0.529698892518951,0.931253735199064,0.524914833527674,1,1,1,1,1,1,1,0.862234209977352,1,1,0.121632367203594,1,0.203437998428086,0.848856478250512,0.674936747232837,0.673829553877935,0.465733888535496,0.249967323509107,0.262877929532877,1,1,0.405028590489529,1,1,1,1,1,0.243168635634934,1,1
2011,grassland,1,1,1,0.010657086540174,0.009909545596003,1,0.024068429339448,1,1,1,1,1,1,1,1,1,0.001899611401461,0.172995699873086,0.008610852307818,1,1,1,1,1,1,1,0.165756811027789,1,1,0.002245632581356,1,0.001869675701926,0.1012168734,0.048608885,0.201848905,0.0323316699,0.32998617,0.052502594262202,1,1,0.08142140608528,1,1,1,1,1,0.217361161920586,1,1
